2019-07-23 21:53:30.536292|ontap_scrapped - pub Stara Drukarnia
2019-07-23 21:53:37.675797|ontap_scrapped - pub AleBrowar Sopot
2019-07-23 21:53:42.157414|ontap_scrapped - pub Konsulat Dobrego Piwa
2019-07-23 21:53:46.834636|ontap_scrapped - pub No.5
2019-07-23 21:53:54.198117|ontap_scrapped - pub Cesarska
2019-07-23 21:54:00.812478|ontap_scrapped - pub Český Film
2019-07-23 21:54:04.836790|ontap_scrapped - pub Nowy Browar
2019-07-23 21:54:09.779053|ontap_scrapped - pub Słody
2019-07-23 21:54:14.113950|ontap_scrapped - pub The Office
2019-07-23 21:54:18.944177|ontap_scrapped - pub Ambasada San Escobar
2019-07-23 21:54:23.713476|ontap_scrapped - pub Przystanek Tleń
2019-07-23 21:54:28.117226|ontap_scrapped - pub Carpe Kraft
2019-07-23 21:54:30.237501|ontap_scrapped - pub Jan Olbracht
2019-07-23 21:54:34.338119|ontap_scrapped - pub Krajina Piva
2019-07-23 21:54:40.863844|ontap_scrapped - pub Gambrinus
2019-07-23 21:54:45.308089|ontap_scrapped - pub Wielokran
2019-07-23 21:54:51.753441|ontap_scrapped - pub A Może Pifko? PUB
2019-07-23 21:54:56.171272|ontap_scrapped - pub Artezan Pub
2019-07-23 21:54:59.603537|ontap_scrapped - pub Beczka
2019-07-23 21:55:02.994410|ontap_scrapped - pub Beerhub
2019-07-23 21:55:07.339203|ontap_scrapped - pub Chmielarnia
2019-07-23 21:55:13.312769|ontap_scrapped - pub Chmielarnia Marszałkowska
2019-07-23 21:55:17.967638|ontap_scrapped - pub Chmielołak
2019-07-23 21:55:21.393759|ontap_scrapped - pub Craft Beer Muranów
2019-07-23 21:55:26.502364|ontap_scrapped - pub Cuda na Kiju
2019-07-23 21:55:31.543055|ontap_scrapped - pub Czeska Piviarnia
2019-07-23 21:55:34.515203|ontap_scrapped - pub Czeska Piviarnia Hospoda
2019-07-23 21:55:37.504989|ontap_scrapped - pub Cześć
2019-07-23 21:55:41.222973|ontap_scrapped - pub Drugie Dno Multitap Bar
2019-07-23 21:55:48.485778|ontap_scrapped - pub Drugie Dno Ochota
2019-07-23 21:55:51.892623|ontap_scrapped - pub Gorączka Złota
2019-07-23 21:55:54.663622|ontap_scrapped - pub Hoppiness
2019-07-23 21:55:58.875047|ontap_scrapped - pub Jabeerwocky Centrum
2019-07-23 21:56:04.136493|ontap_scrapped - pub Jabeerwocky Ursynów
2019-07-23 21:56:07.545062|ontap_scrapped - pub Kicia Kocia
2019-07-23 21:56:15.069235|ontap_scrapped - pub Kiełba w Gębie
2019-07-23 21:56:18.087436|ontap_scrapped - pub Klubokawiarnia KEN54
2019-07-23 21:56:22.326423|ontap_scrapped - pub Koktajl Mokotowa
2019-07-23 21:56:26.072092|ontap_scrapped - pub Komisariat 17
2019-07-23 21:56:28.707317|ontap_scrapped - pub Kufle i kapsle
2019-07-23 21:56:34.655584|ontap_scrapped - pub Kufle i Kapsle Powiśle
2019-07-23 21:56:39.059891|ontap_scrapped - pub Kufle i kapsle Żoliborz
2019-07-23 21:56:42.361991|ontap_scrapped - pub Maryensztadt Craft beer & Food
2019-07-23 21:56:47.514030|ontap_scrapped - pub Mikkeller Warsaw
2019-07-23 21:56:56.289868|ontap_scrapped - pub Piana Bar
2019-07-23 21:57:01.028069|ontap_scrapped - pub Piw Paw Parkingowa
2019-07-23 21:57:17.235885|ontap_scrapped - pub Piw Paw ul.Foksal 16
2019-07-23 21:57:37.378713|ontap_scrapped - pub Piwna sprawa
2019-07-23 21:57:40.851775|ontap_scrapped - pub Piwny Kolektyw
2019-07-23 21:57:47.082469|ontap_scrapped - pub PiwoWar
2019-07-23 21:57:53.314531|ontap_scrapped - pub Przystanek Bemowo
2019-07-23 21:57:57.344002|ontap_scrapped - pub Qufel Beer Park
2019-07-23 21:58:01.709756|ontap_scrapped - pub Same Krafty
2019-07-23 21:58:06.286361|ontap_scrapped - pub Same Krafty vis-à-vis
2019-07-23 21:58:10.598117|ontap_scrapped - pub Stacja Grochów
2019-07-23 21:58:14.603147|ontap_scrapped - pub Tarantino
2019-07-23 21:58:19.044032|ontap_scrapped - pub The Taps
2019-07-23 21:58:24.102757|ontap_scrapped - pub To co lubię
2019-07-23 21:58:26.705691|ontap_scrapped - pub Vyčeska
2019-07-23 21:58:32.461522|ontap_scrapped - pub Warszawski Łotr
2019-07-23 21:58:40.917809|ontap_scrapped - pub Winylowa
2019-07-23 21:58:45.485450|ontap_scrapped - pub 12 Krok
2019-07-23 21:58:50.094642|ontap_scrapped - pub 4hops
2019-07-23 21:58:55.166905|ontap_scrapped - pub Academus Cafe/Pub
2019-07-23 21:58:58.918759|ontap_scrapped - pub AleBrowar
2019-07-23 21:59:04.047045|ontap_scrapped - pub Browar Prost
2019-07-23 21:59:08.842663|ontap_scrapped - pub Craftova
2019-07-23 21:59:12.951739|ontap_scrapped - pub Graciarnia Pizzas & Crafts
2019-07-23 21:59:16.404303|ontap_scrapped - pub Kontynuacja
2019-07-23 21:59:22.132700|ontap_scrapped - pub La Famiglia Craft Beer & Pizza
